ID	phase	blk	tri	targetId,	cat1	cat2	err	comp,	distance,	ct	startTimeToComplete,	clk	TimeOUt
S1	P4	B3	1	8		v15	2	TRUE	0	6832	6832	3	0
S1	P4	B3	2	7	new	v3	1	TRUE	0	3841	3841	2	0
S1	P4	B3	3	5		v6	1	TRUE	0	3390	3391	2	0
S1	P4	B3	4	0		v6	0	TRUE	0	2600	2600	1	0
S1	P4	B3	5	2	new	v3	1	TRUE	0	3776	3776	2	0
S1	P4	B3	6	15	new	v3	3	TRUE	0	5343	5344	4	0
S1	P4	B3	7	12		v15	1	TRUE	0	3911	3911	2	0
S1	P4	B3	8	9		v6	3	TRUE	0	5865	5865	4	0
S1	P4	B3	9	4	new	v3	0	TRUE	0	2383	2383	1	0
S1	P4	B3	10	19		v15	0	TRUE	0	2688	2688	1	0
S1	P4	B3	11	11	new	v3	1	TRUE	0	2960	2960	2	0
S1	P4	B3	12	1		v9	2	TRUE	0	5887	5888	3	0
S1	P4	B3	13	10		v9	1	TRUE	0	4600	4601	2	0
S1	P4	B3	14	18		v9	2	TRUE	0	4846	4847	3	0
S1	P4	B3	15	17		v6	1	TRUE	0	4455	4456	2	0
S1	P4	B3	16	6		v9	3	TRUE	0	7759	7760	4	0
S1	P4	B3	17	16		v15	1	TRUE	0	4367	4367	2	0
S1	P4	B3	18	13		v6	5	TRUE	0	9542	9545	6	0
S1	P4	B3	19	3		v15	0	TRUE	0	3799	3799	1	0
S1	P4	B3	20	14		v9	2	TRUE	0	6839	6841	3	0
S2	P4	B3	1	16		v15	1	TRUE	0	6952	6952	2	0
S2	P4	B3	2	14		v9	4	TRUE	0	11934	11936	5	0
S2	P4	B3	3	10		v9	0	TRUE	0	3536	3536	1	0
S2	P4	B3	4	19		v15	0	TRUE	0	2855	2855	1	0
S2	P4	B3	5	11	new	v3	6	TRUE	0	11584	11585	7	0
S2	P4	B3	6	7	new	v3	0	TRUE	0	3951	3951	1	0
S2	P4	B3	7	4	new	v3	0	TRUE	0	3184	3184	1	0
S2	P4	B3	8	0		v6	0	TRUE	0	2744	2744	1	0
S2	P4	B3	9	1		v9	1	TRUE	0	5616	5616	2	0
S2	P4	B3	10	3		v15	0	TRUE	0	4384	4384	1	0
S2	P4	B3	11	2	new	v3	0	TRUE	0	3736	3736	1	0
S2	P4	B3	12	5		v6	5	TRUE	0	9359	9360	6	0
S2	P4	B3	13	13		v6	3	TRUE	0	8790	8792	4	0
S2	P4	B3	14	9		v6	1	TRUE	0	4880	4880	2	0
S2	P4	B3	15	15	new	v3	0	TRUE	0	3055	3055	1	0
